Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0032394,0.022567,-4.5383E-10,0,0,0,1.22787,0.00011996,-1.0737E-06,-4.1525E-14,0.00020378,4.5573E-13,0.000134,0,0,0,0,0,0,package://robot_arm_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/base_link.STL,,Circular Base_2-2;Servo MG996R_2-2,Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotating_Link,-0.0125350268571904,0.0233608533773388,7.50059833673825E-08,0,0,0,0.123597949087119,8.32891212084354E-05,7.68878516719148E-06,2.77787381114411E-10,7.65400668372014E-05,-6.67658494977892E-11,7.65101106376672E-05,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rotating_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rotating_Link.STL,,Rotating Waste_2-2;Servo MG996R_2-3,Origin_rotating_joint,Axis1,rotating_joint,revolute,0,0.05,0,0,1.5708,0,base_link,0,0,0,0.1,0.2,-1.57,1.57,,,,,,,,
upperarm_Link,5.5511E-17,0.0079569,2.187E-16,0,0,0,0.12015,2.3791E-05,2.846E-19,1.2636E-12,0.00039487,1.7927E-21,0.00037741,0,0,0,0,0,0,package://robot_arm_urdf/meshes/upperarm_Link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/upperarm_Link.STL,,Arm 1_2-1,Origin_shoulder_joint,Axis2,shoulder_joint,revolute,0,0.11355,0,-3.1416,0,1.5708,rotating_Link,0,0,0,0.1,0.2,-1.57,1.57,,,,,,,,
forearm_Link,0.050967,0.031378,-0.00031477,0,0,0,0.14762,2.3289E-05,5.374E-06,6.3077E-06,0.0004054,-8.1891E-08,0.00040129,0,0,0,0,0,0,package://robot_arm_urdf/meshes/forearm_Link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/forearm_Link.STL,,Servo MG996R_2-4;Gripper Assem 1_2-1/Base_2-1;Gripper Assem 1_2-1/Servo Micro_2-1,Origin_arms_joint,Axis3,arms_joint,revolute,0.07,-0.0474,-0.01025,0,1.5708,0,upperarm_Link,0,0,0,0.1,0.2,-1.57,1.57,,,,,,,,
leftside_Link,0.0155,0.00825,5.175E-09,0,0,0,0.0015975,7.265E-09,9.9301E-23,-2.3118E-14,2.0885E-07,1.8619E-25,2.0584E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftside_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftside_Link.STL,,Gripper Assem 1_2-1/Link_2-3;Gripper Assem 1_2-1/Link_2-5,Origin_leftlink_joint,Axis6,leftlink_joint,revolute,0.17805,0.04015,0.0012817,-1.5708,0,0.1129,forearm_Link,0,0,0,0,0,0,1.57,,,,,,,,
rightside_link,0.0155,-0.00425,-4.2952E-15,0,0,0,0.0015975,7.265E-09,2.2935E-22,1.8793E-23,2.0885E-07,-2.0142E-24,2.0584E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightside_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightside_link.STL,,Gripper Assem 1_2-1/Link_2-2;Gripper Assem 1_2-1/Link_2-4,Origin_ringlink_joint,Axis7,rightlink_joint,revolute,0.17805,0.03015,-0.011218,-1.5708,0,-0.017804,forearm_Link,0,0,0,0,0,0,0,,,,,,,,
rightgear_Link,-0.017371,0.0017437,0.00040231,0,0,0,0.0028245,1.025E-07,-1.2936E-08,5.8922E-08,5.4141E-07,2.1041E-09,4.4993E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightgear_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightgear_Link.STL,,Gripper Assem 1_2-1/Gear Arm 2_2-1,Origin_rightgear_joint,Axis5,rightgear_joint,revolute,0.14835,0.020267,-0.013568,-1.5708,0,-3.0441,forearm_Link,0,0,0,0.1,0.5,0,1.57,,,,,,,,
rightfinger_Link,0.00425,0.0095132,-0.03189,0,0,0,0.0053975,1.7139E-06,1.2438E-11,6.4938E-12,1.5958E-06,3.7341E-07,1.8308E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightfinger_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/rightfinger_Link.STL,,Gripper Assem 1_2-1/Grip_2-2,Origin_rightfinger_joint,Axis11,rightfinger_joint,revolute,-0.034203,-0.01085,0.00098559,1.2279,0,1.5708,rightgear_Link,0,0,0,0.1,0.2,0,1.57,,,,,,,,
leftgear_Link,-0.0045276,0.001,-0.00060197,0,0,0,0.0039624,1.4167E-07,-6.8068E-22,-1.3886E-08,6.7086E-07,1.1273E-23,5.5296E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftgear_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftgear_Link.STL,,Gripper Assem 1_2-1/Gear Arm 1_2-1,Origin_lleftgear_joint,Axis4,leftgear_joint,revolute,0.16759,0.049104,-0.013218,-1.5708,0,0.09458,forearm_Link,0,0,0,0.1,0.2,0,1.57,,,,,,,,
leftfinger_Link,0.00425,0.0095131,-0.03189,0,0,0,0.0053975,1.7139E-06,1.244E-11,6.4983E-12,1.5958E-06,3.7341E-07,1.8308E-07,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftfinger_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_arm_urdf/meshes/leftfinger_Link.STL,,Gripper Assem 1_2-1/Grip_2-1,Origin_leftfinger_joint,Axis10,leftfinger_joint,revolute,0.013995,-0.002,-0.0024061,1.1326,0,-1.5708,leftgear_Link,0,0,0,0.1,0.2,0,1.57,,,,,,,,
